Release Date,Time,Actual,Forecast,Previous,%sup
"Feb 06, 2015 (Jan)",9:30,257000,234000,329000,10%
"Jan 09, 2015 (Dec)",9:30,252000,240000,353000,5%
"Dec 05, 2014 (Nov)",9:30,321000,225000,243000,43%
"Nov 07, 2014 (Oct)",9:30,214000,231000,256000,-7%
"Oct 03, 2014 (Sep)",8:30,248000,215000,180000,15%
"Sep 05, 2014",8:30,142000,225000,212000,-37%
"Aug 01, 2014",8:30,209000,233000,298000,-10%
"Jul 03, 2014",8:30,288000,212000,224000,36%
"Jun 06, 2014",8:30,217000,218000,282000,0%
"May 02, 2014",8:30,288000,210000,203000,37%
"Apr 04, 2014",8:30,192000,200000,197000,-4%
"Mar 07, 2014",9:30,175000,149000,129000,17%
"Feb 07, 2014",9:30,113000,185000,75000,-39%
"Jan 10, 2014",9:30,74000,196000,241000,-62%
"Dec 06, 2013",9:30,203000,180000,200000,13%
"Nov 08, 2013",9:30,204000,125000,163000,63%
"Oct 22, 2013",8:30,148000,180000,193000,-18%
"Sep 06, 2013",8:30,169000,180000,104000,-6%
"Aug 02, 2013",8:30,162000,184000,188000,-12%
"Jul 05, 2013",8:30,195000,165000,195000,18%
"Jun 07, 2013",8:30,175000,170000,149000,3%
"May 03, 2013",8:30,165000,145000,138000,14%
"Apr 05, 2013",8:30,88000,200000,268000,-56%
"Mar 08, 2013",9:30,236000,160000,119000,48%
"Feb 01, 2013",9:30,157000,160000,196000,-2%
"Jan 04, 2013",9:30,155000,150000,161000,3%
"Dec 07, 2012",9:30,146000,93000,138000,57%
"Nov 02, 2012",8:30,171000,125000,148000,37%
"Oct 05, 2012",8:30,114000,113000,142000,1%
"Sep 07, 2012",8:30,96000,125000,141000,-23%
"Aug 03, 2012",8:30,163000,100000,64000,63%
"Jul 06, 2012",8:30,80000,90000,77000,-11%
"Jun 01, 2012",8:30,69000,150000,77000,-54%
"May 04, 2012",8:30,115000,170000,154000,-32%
"Apr 06, 2012",8:30,120000,203000,240000,-41%
"Mar 09, 2012",9:30,227000,210000,284000,8%
"Feb 03, 2012",9:30,243000,150000,203000,62%
"Jan 06, 2012",9:30,200000,150000,100000,33%
"Dec 02, 2011",9:30,120000,120000,100000,0%
"Nov 04, 2011",8:30,80000,95000,158000,-16%
"Oct 07, 2011",8:30,103000,53000,57000,94%
"Sep 02, 2011",8:30,0,74000,85000,-100%
"Aug 05, 2011",8:30,117000,95000,46000,23%
"Jul 08, 2011",8:30,18000,89000,25000,-80%
"Jun 03, 2011",8:30,54000,169000,232000,-68%
"May 06, 2011",8:30,244000,185000,221000,32%
"Apr 01, 2011",8:30,216000,188000,194000,15%
"Mar 04, 2011",9:30,192000,180000,63000,7%
"Feb 04, 2011",9:30,36000,150000,121000,-76%
"Jan 07, 2011",9:30,103000,150000,71000,-31%
"Dec 03, 2010",9:30,39000,140000,172000,-72%
"Nov 05, 2010",8:30,151000,60000,-41000,152%
"Oct 08, 2010",8:30,-95000,3000,-57000,-3267%
"Sep 03, 2010",8:30,-54000,-118000,-54000,-54%
"Aug 06, 2010",8:30,-131000,-65000,-221000,102%
"Jul 02, 2010",8:30,-125000,-100000,433000,25%
"Jun 04, 2010",8:30,431000,500000,290000,-14%
"May 07, 2010",8:30,290000,187000,230000,55%
"Apr 02, 2010",8:30,162000,190000,-14000,-15%
"Mar 05, 2010",9:30,-36000,-55000,-26000,-35%
"Feb 05, 2010",9:30,-20000,15000,-150000,-233%
"Jan 08, 2010",9:30,-85000,0,4000,#DIV/0!
"Dec 04, 2009",9:30,-11000,-114000,-111000,-90%
"Nov 06, 2009",9:30,-190000,-166000,-219000,14%
"Oct 02, 2009",8:30,-263000,-190000,-201000,38%
"Sep 04, 2009",8:30,-216000,-220000,-276000,-2%
"Aug 07, 2009",8:30,-247000,-330000,-443000,-25%
"Jul 02, 2009",8:30,-467000,-375000,-322000,25%
"Jun 05, 2009",8:30,-345000,-521000,-504000,-34%
"May 08, 2009",8:30,-539000,-580000,-699000,-7%
"Apr 03, 2009",8:30,-663000,-662000,-651000,0%
"Mar 06, 2009",9:30,-651000,-636000,-598000,2%
"Feb 06, 2009",9:30,-598000,-530000,-524000,13%
"Jan 09, 2009",9:30,-524000,-475000,-533000,10%
"Dec 05, 2008",9:30,-533000,-320000,-240000,67%
"Nov 07, 2008",9:30,-240000,-200000,-159000,20%
"Oct 03, 2008",8:30,-159000,-100000,-84000,59%
"Sep 05, 2008",8:30,-84000,-73000,-51000,15%
"Aug 01, 2008",8:30,-51000,-75000,-62000,-32%
"Jul 03, 2008",8:30,-62000,-60000,-49000,3%
"Jun 06, 2008",9:30,-49000,-57000,-20000,-14%
"May 02, 2008",8:30,-20000,-80000,-80000,-75%
"Apr 04, 2008",8:30,-80000,-50000,-63000,60%
"Mar 07, 2008",9:30,-63000,25000,-17000,-352%
